sample	name	flowcell_id	treat	patient	desc
SLX-7239.D701_D502.C2FTBACXX.s_1	SLX-7239.D701_D502.C2FTBACXX.1	C2FTBACXX	E2+DHT	TH-102	TH-102 ED
SLX-7239.D701_D502.C2FTBACXX.s_2	SLX-7239.D701_D502.C2FTBACXX.2	C2FTBACXX	E2+DHT	TH-102	TH-102 ED
SLX-7239.D701_D502.C2FTBACXX.s_3	SLX-7239.D701_D502.C2FTBACXX.3	C2FTBACXX	E2+DHT	TH-102	TH-102 ED
SLX-7239.D701_D502.C2FTBACXX.s_4	SLX-7239.D701_D502.C2FTBACXX.4	C2FTBACXX	E2+DHT	TH-102	TH-102 ED
SLX-7239.D701_D502.C2FUJACXX.s_5	SLX-7239.D701_D502.C2FUJACXX.5	C2FUJACXX	E2+DHT	TH-102	TH-102 ED
SLX-7239.D701_D502.C2FUJACXX.s_6	SLX-7239.D701_D502.C2FUJACXX.6	C2FUJACXX	E2+DHT	TH-102	TH-102 ED
SLX-7239.D701_D502.C2FUJACXX.s_7	SLX-7239.D701_D502.C2FUJACXX.7	C2FUJACXX	E2+DHT	TH-102	TH-102 ED
SLX-7239.D701_D502.C2FUJACXX.s_8	SLX-7239.D701_D502.C2FUJACXX.8	C2FUJACXX	E2+DHT	TH-102	TH-102 ED
SLX-7239.D701_D504.C2FTBACXX.s_1	SLX-7239.D701_D504.C2FTBACXX.1	C2FTBACXX	Veh	TH-85	TH-85 V
SLX-7239.D701_D504.C2FTBACXX.s_2	SLX-7239.D701_D504.C2FTBACXX.2	C2FTBACXX	Veh	TH-85	TH-85 V
SLX-7239.D701_D504.C2FTBACXX.s_3	SLX-7239.D701_D504.C2FTBACXX.3	C2FTBACXX	Veh	TH-85	TH-85 V
SLX-7239.D701_D504.C2FTBACXX.s_4	SLX-7239.D701_D504.C2FTBACXX.4	C2FTBACXX	Veh	TH-85	TH-85 V
SLX-7239.D701_D504.C2FUJACXX.s_5	SLX-7239.D701_D504.C2FUJACXX.5	C2FUJACXX	Veh	TH-85	TH-85 V
SLX-7239.D701_D504.C2FUJACXX.s_6	SLX-7239.D701_D504.C2FUJACXX.6	C2FUJACXX	Veh	TH-85	TH-85 V
SLX-7239.D701_D504.C2FUJACXX.s_7	SLX-7239.D701_D504.C2FUJACXX.7	C2FUJACXX	Veh	TH-85	TH-85 V
SLX-7239.D701_D504.C2FUJACXX.s_8	SLX-7239.D701_D504.C2FUJACXX.8	C2FUJACXX	Veh	TH-85	TH-85 V
SLX-7239.D701_D506.C2FTBACXX.s_1	SLX-7239.D701_D506.C2FTBACXX.1	C2FTBACXX	E2	TH-85	TH-85 E
SLX-7239.D701_D506.C2FTBACXX.s_2	SLX-7239.D701_D506.C2FTBACXX.2	C2FTBACXX	E2	TH-85	TH-85 E
SLX-7239.D701_D506.C2FTBACXX.s_3	SLX-7239.D701_D506.C2FTBACXX.3	C2FTBACXX	E2	TH-85	TH-85 E
SLX-7239.D701_D506.C2FTBACXX.s_4	SLX-7239.D701_D506.C2FTBACXX.4	C2FTBACXX	E2	TH-85	TH-85 E
SLX-7239.D701_D506.C2FUJACXX.s_5	SLX-7239.D701_D506.C2FUJACXX.5	C2FUJACXX	E2	TH-85	TH-85 E
SLX-7239.D701_D506.C2FUJACXX.s_6	SLX-7239.D701_D506.C2FUJACXX.6	C2FUJACXX	E2	TH-85	TH-85 E
SLX-7239.D701_D506.C2FUJACXX.s_7	SLX-7239.D701_D506.C2FUJACXX.7	C2FUJACXX	E2	TH-85	TH-85 E
SLX-7239.D701_D506.C2FUJACXX.s_8	SLX-7239.D701_D506.C2FUJACXX.8	C2FUJACXX	E2	TH-85	TH-85 E
SLX-7239.D701_D507.C2FTBACXX.s_1	SLX-7239.D701_D507.C2FTBACXX.1	C2FTBACXX	E2+DHT	TH-89	TH-89 ED
