name	patient	sample	flowcell_id	treat	Tumor	desc
SLX-7239.D705_D507.C2FTBACXX.1	TH-3	SLX-7239.D705_D507.C2FTBACXX.s_1	C2FTBACXX	Veh	TRUE	TH-3 Veh
SLX-7239.D705_D507.C2FTBACXX.2	TH-3	SLX-7239.D705_D507.C2FTBACXX.s_2	C2FTBACXX	Veh	TRUE	TH-3 Veh
SLX-7239.D705_D507.C2FTBACXX.3	TH-3	SLX-7239.D705_D507.C2FTBACXX.s_3	C2FTBACXX	Veh	TRUE	TH-3 Veh
SLX-7239.D705_D507.C2FTBACXX.4	TH-3	SLX-7239.D705_D507.C2FTBACXX.s_4	C2FTBACXX	Veh	TRUE	TH-3 Veh
SLX-7239.D705_D507.C2FUJACXX.5	TH-3	SLX-7239.D705_D507.C2FUJACXX.s_5	C2FUJACXX	Veh	TRUE	TH-3 Veh
SLX-7239.D705_D507.C2FUJACXX.6	TH-3	SLX-7239.D705_D507.C2FUJACXX.s_6	C2FUJACXX	Veh	TRUE	TH-3 Veh
SLX-7239.D705_D507.C2FUJACXX.7	TH-3	SLX-7239.D705_D507.C2FUJACXX.s_7	C2FUJACXX	Veh	TRUE	TH-3 Veh
SLX-7239.D705_D507.C2FUJACXX.8	TH-3	SLX-7239.D705_D507.C2FUJACXX.s_8	C2FUJACXX	Veh	TRUE	TH-3 Veh
SLX-7239.D703_D507.C2FTBACXX.1	TH-3	SLX-7239.D703_D507.C2FTBACXX.s_1	C2FTBACXX	E2	TRUE	TH-3 E2
SLX-7239.D703_D507.C2FTBACXX.2	TH-3	SLX-7239.D703_D507.C2FTBACXX.s_2	C2FTBACXX	E2	TRUE	TH-3 E2
SLX-7239.D703_D507.C2FTBACXX.3	TH-3	SLX-7239.D703_D507.C2FTBACXX.s_3	C2FTBACXX	E2	TRUE	TH-3 E2
SLX-7239.D703_D507.C2FTBACXX.4	TH-3	SLX-7239.D703_D507.C2FTBACXX.s_4	C2FTBACXX	E2	TRUE	TH-3 E2
SLX-7239.D703_D507.C2FUJACXX.5	TH-3	SLX-7239.D703_D507.C2FUJACXX.s_5	C2FUJACXX	E2	TRUE	TH-3 E2
SLX-7239.D703_D507.C2FUJACXX.6	TH-3	SLX-7239.D703_D507.C2FUJACXX.s_6	C2FUJACXX	E2	TRUE	TH-3 E2
SLX-7239.D703_D507.C2FUJACXX.7	TH-3	SLX-7239.D703_D507.C2FUJACXX.s_7	C2FUJACXX	E2	TRUE	TH-3 E2
SLX-7239.D703_D507.C2FUJACXX.8	TH-3	SLX-7239.D703_D507.C2FUJACXX.s_8	C2FUJACXX	E2	TRUE	TH-3 E2
SLX-7239.D701_D508.C2FTBACXX.1	TH-5	SLX-7239.D701_D508.C2FTBACXX.s_1	C2FTBACXX	DHT	TRUE	TH-5 DHT
SLX-7239.D701_D508.C2FTBACXX.2	TH-5	SLX-7239.D701_D508.C2FTBACXX.s_2	C2FTBACXX	DHT	TRUE	TH-5 DHT
SLX-7239.D701_D508.C2FTBACXX.3	TH-5	SLX-7239.D701_D508.C2FTBACXX.s_3	C2FTBACXX	DHT	TRUE	TH-5 DHT
SLX-7239.D701_D508.C2FTBACXX.4	TH-5	SLX-7239.D701_D508.C2FTBACXX.s_4	C2FTBACXX	DHT	TRUE	TH-5 DHT
SLX-7239.D701_D508.C2FUJACXX.5	TH-5	SLX-7239.D701_D508.C2FUJACXX.s_5	C2FUJACXX	DHT	TRUE	TH-5 DHT
SLX-7239.D701_D508.C2FUJACXX.6	TH-5	SLX-7239.D701_D508.C2FUJACXX.s_6	C2FUJACXX	DHT	TRUE	TH-5 DHT
SLX-7239.D701_D508.C2FUJACXX.7	TH-5	SLX-7239.D701_D508.C2FUJACXX.s_7	C2FUJACXX	DHT	TRUE	TH-5 DHT
SLX-7239.D701_D508.C2FUJACXX.8	TH-5	SLX-7239.D701_D508.C2FUJACXX.s_8	C2FUJACXX	DHT	TRUE	TH-5 DHT
SLX-7239.D709_D506.C2FTBACXX.1	TH-5	SLX-7239.D709_D506.C2FTBACXX.s_1	C2FTBACXX	E2+DHT	TRUE	TH-5 E2+DHT
SLX-7239.D709_D506.C2FTBACXX.2	TH-5	SLX-7239.D709_D506.C2FTBACXX.s_2	C2FTBACXX	E2+DHT	TRUE	TH-5 E2+DHT
SLX-7239.D709_D506.C2FTBACXX.3	TH-5	SLX-7239.D709_D506.C2FTBACXX.s_3	C2FTBACXX	E2+DHT	TRUE	TH-5 E2+DHT
SLX-7239.D709_D506.C2FTBACXX.4	TH-5	SLX-7239.D709_D506.C2FTBACXX.s_4	C2FTBACXX	E2+DHT	TRUE	TH-5 E2+DHT
SLX-7239.D709_D506.C2FUJACXX.5	TH-5	SLX-7239.D709_D506.C2FUJACXX.s_5	C2FUJACXX	E2+DHT	TRUE	TH-5 E2+DHT
SLX-7239.D709_D506.C2FUJACXX.6	TH-5	SLX-7239.D709_D506.C2FUJACXX.s_6	C2FUJACXX	E2+DHT	TRUE	TH-5 E2+DHT
SLX-7239.D709_D506.C2FUJACXX.7	TH-5	SLX-7239.D709_D506.C2FUJACXX.s_7	C2FUJACXX	E2+DHT	TRUE	TH-5 E2+DHT
SLX-7239.D709_D506.C2FUJACXX.8	TH-5	SLX-7239.D709_D506.C2FUJACXX.s_8	C2FUJACXX	E2+DHT	TRUE	TH-5 E2+DHT
SLX-7239.D702_D502.C2FTBACXX.1	TH-3	SLX-7239.D702_D502.C2FTBACXX.s_1	C2FTBACXX	DHT	TRUE	TH-3 DHT
SLX-7239.D702_D502.C2FTBACXX.2	TH-3	SLX-7239.D702_D502.C2FTBACXX.s_2	C2FTBACXX	DHT	TRUE	TH-3 DHT
SLX-7239.D702_D502.C2FTBACXX.3	TH-3	SLX-7239.D702_D502.C2FTBACXX.s_3	C2FTBACXX	DHT	TRUE	TH-3 DHT
SLX-7239.D702_D502.C2FTBACXX.4	TH-3	SLX-7239.D702_D502.C2FTBACXX.s_4	C2FTBACXX	DHT	TRUE	TH-3 DHT
SLX-7239.D702_D502.C2FUJACXX.5	TH-3	SLX-7239.D702_D502.C2FUJACXX.s_5	C2FUJACXX	DHT	TRUE	TH-3 DHT
SLX-7239.D702_D502.C2FUJACXX.6	TH-3	SLX-7239.D702_D502.C2FUJACXX.s_6	C2FUJACXX	DHT	TRUE	TH-3 DHT
SLX-7239.D702_D502.C2FUJACXX.7	TH-3	SLX-7239.D702_D502.C2FUJACXX.s_7	C2FUJACXX	DHT	TRUE	TH-3 DHT
SLX-7239.D702_D502.C2FUJACXX.8	TH-3	SLX-7239.D702_D502.C2FUJACXX.s_8	C2FUJACXX	DHT	TRUE	TH-3 DHT
SLX-7239.D708_D505.C2FTBACXX.1	TH-3	SLX-7239.D708_D505.C2FTBACXX.s_1	C2FTBACXX	E2+DHT	TRUE	TH-3 E2+DHT
SLX-7239.D708_D505.C2FTBACXX.2	TH-3	SLX-7239.D708_D505.C2FTBACXX.s_2	C2FTBACXX	E2+DHT	TRUE	TH-3 E2+DHT
SLX-7239.D708_D505.C2FTBACXX.3	TH-3	SLX-7239.D708_D505.C2FTBACXX.s_3	C2FTBACXX	E2+DHT	TRUE	TH-3 E2+DHT
SLX-7239.D708_D505.C2FTBACXX.4	TH-3	SLX-7239.D708_D505.C2FTBACXX.s_4	C2FTBACXX	E2+DHT	TRUE	TH-3 E2+DHT
SLX-7239.D708_D505.C2FUJACXX.5	TH-3	SLX-7239.D708_D505.C2FUJACXX.s_5	C2FUJACXX	E2+DHT	TRUE	TH-3 E2+DHT
SLX-7239.D708_D505.C2FUJACXX.6	TH-3	SLX-7239.D708_D505.C2FUJACXX.s_6	C2FUJACXX	E2+DHT	TRUE	TH-3 E2+DHT
SLX-7239.D708_D505.C2FUJACXX.7	TH-3	SLX-7239.D708_D505.C2FUJACXX.s_7	C2FUJACXX	E2+DHT	TRUE	TH-3 E2+DHT
SLX-7239.D708_D505.C2FUJACXX.8	TH-3	SLX-7239.D708_D505.C2FUJACXX.s_8	C2FUJACXX	E2+DHT	TRUE	TH-3 E2+DHT
SLX-7239.D701_D505.C2FTBACXX.1	TH-5	SLX-7239.D701_D505.C2FTBACXX.s_1	C2FTBACXX	Veh	TRUE	TH-5 Veh
SLX-7239.D701_D505.C2FTBACXX.2	TH-5	SLX-7239.D701_D505.C2FTBACXX.s_2	C2FTBACXX	Veh	TRUE	TH-5 Veh
SLX-7239.D701_D505.C2FTBACXX.3	TH-5	SLX-7239.D701_D505.C2FTBACXX.s_3	C2FTBACXX	Veh	TRUE	TH-5 Veh
SLX-7239.D701_D505.C2FTBACXX.4	TH-5	SLX-7239.D701_D505.C2FTBACXX.s_4	C2FTBACXX	Veh	TRUE	TH-5 Veh
SLX-7239.D701_D505.C2FUJACXX.5	TH-5	SLX-7239.D701_D505.C2FUJACXX.s_5	C2FUJACXX	Veh	TRUE	TH-5 Veh
SLX-7239.D701_D505.C2FUJACXX.6	TH-5	SLX-7239.D701_D505.C2FUJACXX.s_6	C2FUJACXX	Veh	TRUE	TH-5 Veh
SLX-7239.D701_D505.C2FUJACXX.7	TH-5	SLX-7239.D701_D505.C2FUJACXX.s_7	C2FUJACXX	Veh	TRUE	TH-5 Veh
SLX-7239.D701_D505.C2FUJACXX.8	TH-5	SLX-7239.D701_D505.C2FUJACXX.s_8	C2FUJACXX	Veh	TRUE	TH-5 Veh
SLX-7239.D701_D501.C2FTBACXX.1	TH-5	SLX-7239.D701_D501.C2FTBACXX.s_1	C2FTBACXX	E2	TRUE	TH-5 E2
SLX-7239.D701_D501.C2FTBACXX.2	TH-5	SLX-7239.D701_D501.C2FTBACXX.s_2	C2FTBACXX	E2	TRUE	TH-5 E2
SLX-7239.D701_D501.C2FTBACXX.3	TH-5	SLX-7239.D701_D501.C2FTBACXX.s_3	C2FTBACXX	E2	TRUE	TH-5 E2
SLX-7239.D701_D501.C2FTBACXX.4	TH-5	SLX-7239.D701_D501.C2FTBACXX.s_4	C2FTBACXX	E2	TRUE	TH-5 E2
SLX-7239.D701_D501.C2FUJACXX.5	TH-5	SLX-7239.D701_D501.C2FUJACXX.s_5	C2FUJACXX	E2	TRUE	TH-5 E2
SLX-7239.D701_D501.C2FUJACXX.6	TH-5	SLX-7239.D701_D501.C2FUJACXX.s_6	C2FUJACXX	E2	TRUE	TH-5 E2
SLX-7239.D701_D501.C2FUJACXX.7	TH-5	SLX-7239.D701_D501.C2FUJACXX.s_7	C2FUJACXX	E2	TRUE	TH-5 E2
SLX-7239.D701_D501.C2FUJACXX.8	TH-5	SLX-7239.D701_D501.C2FUJACXX.s_8	C2FUJACXX	E2	TRUE	TH-5 E2
SLX-7489.D711_D505.C2FTBACXX.5	TH-7	SLX-7489.D711_D505.C2FTBACXX.s_5	C2FTBACXX	Veh	TRUE	TH-7 Veh
SLX-7489.D711_D505.C2FTBACXX.6	TH-7	SLX-7489.D711_D505.C2FTBACXX.s_6	C2FTBACXX	Veh	TRUE	TH-7 Veh
SLX-7489.D711_D505.C2FTBACXX.7	TH-7	SLX-7489.D711_D505.C2FTBACXX.s_7	C2FTBACXX	Veh	TRUE	TH-7 Veh
SLX-7489.D711_D505.C2FTBACXX.8	TH-7	SLX-7489.D711_D505.C2FTBACXX.s_8	C2FTBACXX	Veh	TRUE	TH-7 Veh
