SampleName	SourceID	Filename
TH3-V	SLX-7239.D705_D507.C2FTBACXX.1	SLX-7239.D705_D507.C2FTBACXX.s_1.r_1.fq.gz
TH3-V	SLX-7239.D705_D507.C2FTBACXX.2	SLX-7239.D705_D507.C2FTBACXX.s_2.r_1.fq.gz
TH3-V	SLX-7239.D705_D507.C2FTBACXX.3	SLX-7239.D705_D507.C2FTBACXX.s_3.r_1.fq.gz
TH3-V	SLX-7239.D705_D507.C2FTBACXX.4	SLX-7239.D705_D507.C2FTBACXX.s_4.r_1.fq.gz
TH3-V	SLX-7239.D705_D507.C2FUJACXX.5	SLX-7239.D705_D507.C2FUJACXX.s_5.r_1.fq.gz
TH3-V	SLX-7239.D705_D507.C2FUJACXX.6	SLX-7239.D705_D507.C2FUJACXX.s_6.r_1.fq.gz
TH3-V	SLX-7239.D705_D507.C2FUJACXX.7	SLX-7239.D705_D507.C2FUJACXX.s_7.r_1.fq.gz
TH3-V	SLX-7239.D705_D507.C2FUJACXX.8	SLX-7239.D705_D507.C2FUJACXX.s_8.r_1.fq.gz
TH3-E	SLX-7239.D703_D507.C2FTBACXX.1	SLX-7239.D703_D507.C2FTBACXX.s_1.r_1.fq.gz
TH3-E	SLX-7239.D703_D507.C2FTBACXX.2	SLX-7239.D703_D507.C2FTBACXX.s_2.r_1.fq.gz
TH3-E	SLX-7239.D703_D507.C2FTBACXX.3	SLX-7239.D703_D507.C2FTBACXX.s_3.r_1.fq.gz
TH3-E	SLX-7239.D703_D507.C2FTBACXX.4	SLX-7239.D703_D507.C2FTBACXX.s_4.r_1.fq.gz
TH3-E	SLX-7239.D703_D507.C2FUJACXX.5	SLX-7239.D703_D507.C2FUJACXX.s_5.r_1.fq.gz
TH3-E	SLX-7239.D703_D507.C2FUJACXX.6	SLX-7239.D703_D507.C2FUJACXX.s_6.r_1.fq.gz
TH3-E	SLX-7239.D703_D507.C2FUJACXX.7	SLX-7239.D703_D507.C2FUJACXX.s_7.r_1.fq.gz
TH3-E	SLX-7239.D703_D507.C2FUJACXX.8	SLX-7239.D703_D507.C2FUJACXX.s_8.r_1.fq.gz
TH5-D	SLX-7239.D701_D508.C2FTBACXX.1	SLX-7239.D701_D508.C2FTBACXX.s_1.r_1.fq.gz
TH5-D	SLX-7239.D701_D508.C2FTBACXX.2	SLX-7239.D701_D508.C2FTBACXX.s_2.r_1.fq.gz
TH5-D	SLX-7239.D701_D508.C2FTBACXX.3	SLX-7239.D701_D508.C2FTBACXX.s_3.r_1.fq.gz
TH5-D	SLX-7239.D701_D508.C2FTBACXX.4	SLX-7239.D701_D508.C2FTBACXX.s_4.r_1.fq.gz
TH5-D	SLX-7239.D701_D508.C2FUJACXX.5	SLX-7239.D701_D508.C2FUJACXX.s_5.r_1.fq.gz
TH5-D	SLX-7239.D701_D508.C2FUJACXX.6	SLX-7239.D701_D508.C2FUJACXX.s_6.r_1.fq.gz
TH5-D	SLX-7239.D701_D508.C2FUJACXX.7	SLX-7239.D701_D508.C2FUJACXX.s_7.r_1.fq.gz
TH5-D	SLX-7239.D701_D508.C2FUJACXX.8	SLX-7239.D701_D508.C2FUJACXX.s_8.r_1.fq.gz
TH5-ED	SLX-7239.D709_D506.C2FTBACXX.1	SLX-7239.D709_D506.C2FTBACXX.s_1.r_1.fq.gz
TH5-ED	SLX-7239.D709_D506.C2FTBACXX.2	SLX-7239.D709_D506.C2FTBACXX.s_2.r_1.fq.gz
TH5-ED	SLX-7239.D709_D506.C2FTBACXX.3	SLX-7239.D709_D506.C2FTBACXX.s_3.r_1.fq.gz
TH5-ED	SLX-7239.D709_D506.C2FTBACXX.4	SLX-7239.D709_D506.C2FTBACXX.s_4.r_1.fq.gz
TH5-ED	SLX-7239.D709_D506.C2FUJACXX.5	SLX-7239.D709_D506.C2FUJACXX.s_5.r_1.fq.gz
TH5-ED	SLX-7239.D709_D506.C2FUJACXX.6	SLX-7239.D709_D506.C2FUJACXX.s_6.r_1.fq.gz
TH5-ED	SLX-7239.D709_D506.C2FUJACXX.7	SLX-7239.D709_D506.C2FUJACXX.s_7.r_1.fq.gz
TH5-ED	SLX-7239.D709_D506.C2FUJACXX.8	SLX-7239.D709_D506.C2FUJACXX.s_8.r_1.fq.gz
TH3-D	SLX-7239.D702_D502.C2FTBACXX.1	SLX-7239.D702_D502.C2FTBACXX.s_1.r_1.fq.gz
TH3-D	SLX-7239.D702_D502.C2FTBACXX.2	SLX-7239.D702_D502.C2FTBACXX.s_2.r_1.fq.gz
TH3-D	SLX-7239.D702_D502.C2FTBACXX.3	SLX-7239.D702_D502.C2FTBACXX.s_3.r_1.fq.gz
TH3-D	SLX-7239.D702_D502.C2FTBACXX.4	SLX-7239.D702_D502.C2FTBACXX.s_4.r_1.fq.gz
TH3-D	SLX-7239.D702_D502.C2FUJACXX.5	SLX-7239.D702_D502.C2FUJACXX.s_5.r_1.fq.gz
TH3-D	SLX-7239.D702_D502.C2FUJACXX.6	SLX-7239.D702_D502.C2FUJACXX.s_6.r_1.fq.gz
TH3-D	SLX-7239.D702_D502.C2FUJACXX.7	SLX-7239.D702_D502.C2FUJACXX.s_7.r_1.fq.gz
TH3-D	SLX-7239.D702_D502.C2FUJACXX.8	SLX-7239.D702_D502.C2FUJACXX.s_8.r_1.fq.gz
TH3-ED	SLX-7239.D708_D505.C2FTBACXX.1	SLX-7239.D708_D505.C2FTBACXX.s_1.r_1.fq.gz
TH3-ED	SLX-7239.D708_D505.C2FTBACXX.2	SLX-7239.D708_D505.C2FTBACXX.s_2.r_1.fq.gz
TH3-ED	SLX-7239.D708_D505.C2FTBACXX.3	SLX-7239.D708_D505.C2FTBACXX.s_3.r_1.fq.gz
TH3-ED	SLX-7239.D708_D505.C2FTBACXX.4	SLX-7239.D708_D505.C2FTBACXX.s_4.r_1.fq.gz
TH3-ED	SLX-7239.D708_D505.C2FUJACXX.5	SLX-7239.D708_D505.C2FUJACXX.s_5.r_1.fq.gz
TH3-ED	SLX-7239.D708_D505.C2FUJACXX.6	SLX-7239.D708_D505.C2FUJACXX.s_6.r_1.fq.gz
TH3-ED	SLX-7239.D708_D505.C2FUJACXX.7	SLX-7239.D708_D505.C2FUJACXX.s_7.r_1.fq.gz
TH3-ED	SLX-7239.D708_D505.C2FUJACXX.8	SLX-7239.D708_D505.C2FUJACXX.s_8.r_1.fq.gz
TH5-V	SLX-7239.D701_D505.C2FTBACXX.1	SLX-7239.D701_D505.C2FTBACXX.s_1.r_1.fq.gz
TH5-V	SLX-7239.D701_D505.C2FTBACXX.2	SLX-7239.D701_D505.C2FTBACXX.s_2.r_1.fq.gz
TH5-V	SLX-7239.D701_D505.C2FTBACXX.3	SLX-7239.D701_D505.C2FTBACXX.s_3.r_1.fq.gz
TH5-V	SLX-7239.D701_D505.C2FTBACXX.4	SLX-7239.D701_D505.C2FTBACXX.s_4.r_1.fq.gz
TH5-V	SLX-7239.D701_D505.C2FUJACXX.5	SLX-7239.D701_D505.C2FUJACXX.s_5.r_1.fq.gz
TH5-V	SLX-7239.D701_D505.C2FUJACXX.6	SLX-7239.D701_D505.C2FUJACXX.s_6.r_1.fq.gz
TH5-V	SLX-7239.D701_D505.C2FUJACXX.7	SLX-7239.D701_D505.C2FUJACXX.s_7.r_1.fq.gz
TH5-V	SLX-7239.D701_D505.C2FUJACXX.8	SLX-7239.D701_D505.C2FUJACXX.s_8.r_1.fq.gz
TH5-E	SLX-7239.D701_D501.C2FTBACXX.1	SLX-7239.D701_D501.C2FTBACXX.s_1.r_1.fq.gz
TH5-E	SLX-7239.D701_D501.C2FTBACXX.2	SLX-7239.D701_D501.C2FTBACXX.s_2.r_1.fq.gz
TH5-E	SLX-7239.D701_D501.C2FTBACXX.3	SLX-7239.D701_D501.C2FTBACXX.s_3.r_1.fq.gz
TH5-E	SLX-7239.D701_D501.C2FTBACXX.4	SLX-7239.D701_D501.C2FTBACXX.s_4.r_1.fq.gz
TH5-E	SLX-7239.D701_D501.C2FUJACXX.5	SLX-7239.D701_D501.C2FUJACXX.s_5.r_1.fq.gz
TH5-E	SLX-7239.D701_D501.C2FUJACXX.6	SLX-7239.D701_D501.C2FUJACXX.s_6.r_1.fq.gz
TH5-E	SLX-7239.D701_D501.C2FUJACXX.7	SLX-7239.D701_D501.C2FUJACXX.s_7.r_1.fq.gz
