pvalue,gene_name
8.54E-05,NRIP1
0.000075142,IGFBP4
7.95E-06,THBS1
0.366540577,LOC56926
2.86E-06,AREG
0.014548555,
6.13E-05,DNAJL1
8.07E-05,
0.005586475,
7.99E-06,NMA
0.010291894,PRO0233
0.000210801,SIAT1
0.000127942,GREB1
0.505487488,
0.004222826,
0.933450506,TSGA14
0.011385085,RIN3
0.655864733,ART3
0.025671396,C20orf9
0.006660553,NFKBIL2
4.26E-06,
0.000413501,MLPH
0.07769457,GNMT
0.50828714,
0.15983246,FLJ20392
0.310434595,
0.229013175,
0.447376441,CDH20
0.023579645,IGSF4
0.142631385,C11orf11
0.016103947,RPL34P1
0.069488767,OIP2
0.020767311,JAK1
9.26E-05,CEP3
0.740619457,
0.022032083,SOX9
0.000506629,NR2F1
3.29E-05,OLFM1
0.005583757,DKFZp586G012
0.400492238,SMARCA5
0.609289994,CGI-96
0.777223158,
0.401727216,YAF2
0.068341112,MAP2K7
0.009668996,IER3
0.000318108,RAB26
0.000782099,
0.04160068,KIAA0953
0.151556443,
0.11094903,KIAA1291
0.071145619,CKS2
0.580640986,
0.835321396,RAB21
0.477380736,NTPBP
0.085846382,CAMKK2
0.248440711,C10orf2
0.131882695,POMC
0.029415214,MAT2B
0.040731269,SLC15A2
0.788600211,LOC51091
0.012324513,DDX10
0.159672978,KIAA1618
0.608842243,
0.003409537,ORP150
0.038772445,
0.751762099,PROSC
0.231474468,
0.045902936,FLJ23506
0.631329137,KIAA0748
0.775525292,MGC11287
0.162797168,P53AIP1
0.015802288,SNK
0.427414266,FLT4
0.008078117,FLJ14299
0.665149519,PDAP1
0.069979949,PRO1855
0.562669426,AAMP
0.197518012,
0.243454209,RDHL
0.35411867,NFKBIL1
0.150771909,KRTHA7
0.152916901,MCM6
0.000274862,SDF1
0.795218644,
0.119222223,IGFBP5
0.039502495,UGCGL1
0.018013388,DKC1
0.20672638,
0.788416619,
0.16303124,PRKACA
0.007124533,GPRK7
0.716086035,SGK
0.126466148,ITPK1
0.001479018,CCNG2
0.815966403,PIN4
0.655359313,
0.006781281,IL6ST
0.860074443,
0.075906254,RINZF
0.436155349,CIDEA
0.093535314,STAM
0.014896713,KRT5
0.945970706,KIAA1171
0.191033882,
0.023981066,KIAA0821
0.592363815,
0.066111886,
0.010984417,SCN1B
0.124323358,
0.327611454,
0.130167225,VIT1
0.005749766,
0.47529151,DIPA
0.043244431,COL3A1
