"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.B_cells","log2fold_change","Auc"
"118","CD74","hurdle",5.86342263400499e-34,0.719121,2.220029,1.500908,0.911
"278","HLA-DRA","hurdle",1.16317030501793e-34,-0.1260448,1.8505844,1.9766292,0.896
"109","CD37","hurdle",1.26644805530331e-54,-1.467379,1.330213,2.797592,0.896
"425","MS4A1","hurdle",4.06940624560633e-81,-3.182419,1.020636,4.203055,0.876
"273","HLA-DPB1","hurdle",3.04073616997255e-29,-0.4368143,1.4279521,1.8647664,0.862
"274","HLA-DQA1","hurdle",1.71118596495215e-35,-1.202476,1.272411,2.474887,0.861
"364","LAPTM5","hurdle",1.20885740538823e-27,-1.061245,1.048873,2.110118,0.829
"272","HLA-DPA1","hurdle",2.50074560444835e-23,-0.3994454,1.3416285,1.7410739,0.824
"279","HLA-DRB1","hurdle",2.3787462048422e-21,-0.04229971,1.50328406,1.54558377,0.818
"123","CD83","hurdle",5.78710055088099e-35,-1.8191985,0.9881489,2.8073474,0.811
"119","CD79A","hurdle",1.50633494071098e-64,-3.0668521,0.8041682,3.8710203,0.808
"280","HLA-DRB5","hurdle",1.60354706307193e-21,-0.7506223,1.0762251,1.8268474,0.795
"276","HLA-DQB1","hurdle",3.49293758587651e-22,-1.1780576,0.8163956,1.9944532,0.784
"115","CD69","hurdle",5.0630206213628e-17,-0.792525,1.068687,1.861212,0.769
"387","LTB","hurdle",1.15495871820933e-22,-1.793672,0.603684,2.397356,0.756
"76","BTG1","hurdle",1.52660252206429e-14,0.948199,1.600446,0.652247,0.75
"542","REL","hurdle",1.60059216463403e-16,-0.6312655,0.7646401,1.3959056,0.742
"730","TSC22D3","hurdle",9.88214689822035e-12,0.5189374,1.3393446,0.8204072,0.739
"448","NR4A2","hurdle",3.55223010789978e-16,-0.3048805,1.0431478,1.3480283,0.737
"112","CD52","hurdle",3.25484552173977e-14,-0.6822014,0.8599924,1.5421938,0.732
"62","BANK1","hurdle",9.35492552323438e-51,-3.27626519,0.004443005,3.280708195,0.728
"646","SMCHD1","hurdle",1.83395731709951e-14,-1.21921,0.3437013,1.5629113,0.707
"749","VPREB3","hurdle",4.93881423087266e-41,-3.2929129,-0.2720936,3.0208193,0.704
"169","CXCR4","hurdle",2.92994815667225e-11,0.07679294,1.20719065,1.13039771,0.698
"435","NCF1","hurdle",7.92092510664764e-20,-2.5917284,-0.1534466,2.4382818,0.694
"528","RAC2","hurdle",4.65185567643562e-12,-1.4549365,0.1972772,1.6522137,0.686
"443","NFKBID","hurdle",1.23937561687442e-23,-2.1717202,0.1437389,2.3154591,0.686
"114","CD55","hurdle",2.92460825637173e-18,-0.7225192,0.6150088,1.337528,0.686
"227","FCMR","hurdle",1.50768649967775e-19,-2.5751951,-0.1395182,2.4356769,0.684
