"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.CAFs","log2fold_change","Auc"
"361","DCN","hurdle",0,-2.151681,2.028607,4.180288,0.978
"751","LUM","hurdle",0,-2.576784,1.843138,4.419922,0.968
"283","COL1A2","hurdle",2.21902049664385e-284,-1.899152,1.879532,3.778684,0.956
"175","C1S","hurdle",1.67911057519321e-254,-2.168293,1.353927,3.52222,0.942
"1199","SFRP2","hurdle",1.15819411373777e-298,-2.816919,1.611736,4.428655,0.93
"334","CTSK","hurdle",9.3925368728296e-287,-2.832953,1.134116,3.967069,0.93
"282","COL1A1","hurdle",4.79599173352691e-257,-1.824578,1.855869,3.680447,0.93
"292","COL6A2","hurdle",2.41392519588658e-221,-1.864836,1.377185,3.242021,0.926
"464","FBLN1","hurdle",3.93696462523683e-271,-2.639005,1.18421,3.823215,0.925
"204","CCDC80","hurdle",5.77298121192041e-262,-2.464106,1.321575,3.785681,0.925
"293","COL6A3","hurdle",1.42663341551595e-268,-2.761571,1.248324,4.009895,0.922
"291","COL6A1","hurdle",8.32924661832053e-227,-2.191753,1.196018,3.387771,0.911
"284","COL3A1","hurdle",1.0513742047615e-236,-2.126666,1.694152,3.820818,0.91
"701","LGALS1","hurdle",2.13190986649898e-135,0.1539368,1.6590736,1.5051368,0.907
"814","MMP2","hurdle",3.62020040505201e-225,-2.575297,1.045325,3.620622,0.906
"1190","SERPINF1","hurdle",1.52380388645604e-203,-1.89956,1.204062,3.103622,0.903
"1191","SERPING1","hurdle",7.31774606715292e-147,-0.9593975,1.2011305,2.160528,0.896
"41","AEBP1","hurdle",5.28923200674369e-204,-2.374187,1.043754,3.417941,0.886
"1263","SPARC","hurdle",2.7754194659511e-134,-0.4706282,1.6591576,2.1297858,0.884
"329","CTGF","hurdle",1.04404376548055e-174,-1.562035,1.379094,2.941129,0.88
"1090","RARRES2","hurdle",5.35578632359059e-188,-2.133611,1.021425,3.155036,0.878
"839","MXRA8","hurdle",4.34747325440589e-186,-2.400226,0.774737,3.174963,0.876
"792","MFAP4","hurdle",1.06456190293252e-195,-2.7691306,0.8771396,3.6462702,0.876
