"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Cancer_Epithelial","log2fold_change","Auc"
"1308","KRT19","hurdle",0,-1.329663,1.639225,2.968888,0.95
"1307","KRT18","hurdle",0,-1.362492,1.41108,2.773572,0.936
"213","AZGP1","hurdle",0,-1.198478,1.485069,2.683547,0.925
"2746","TSTD1","hurdle",0,-1.484969,1.062959,2.547928,0.923
"65","AGR2","hurdle",0,-1.871974,1.286601,3.158575,0.919
"2383","SMIM22","hurdle",0,-2.5119632,0.6439009,3.1558641,0.916
"2429","SPINT2","hurdle",0,-1.323554,1.118426,2.44198,0.911
"967","FXYD3","hurdle",0,-1.941644,0.8995423,2.8411863,0.911
"802","ELF3","hurdle",0,-1.837159,1.204205,3.041364,0.909
"1311","KRT8","hurdle",0,-1.424881,1.089953,2.514834,0.908
"2876","XBP1","hurdle",0,-0.4739619,1.4449002,1.9188621,0.903
"587","CRABP2","hurdle",0,-1.8651301,0.8892555,2.7543856,0.895
"439","CD24","hurdle",0,-1.8274703,0.9652355,2.7927058,0.89
"2740","TSPAN13","hurdle",0,-1.3556017,0.9611723,2.316774,0.889
"104","ANKRD30A","hurdle",0,-2.4877956,0.7771627,3.2649583,0.888
"512","CLDN4","hurdle",0,-1.521416,1.138481,2.659897,0.887
"2910","ZG16B","hurdle",0,-2.5580043,0.4261511,2.9841554,0.884
"66","AGR3","hurdle",0,-2.1755155,0.9374351,3.1129506,0.882
"511","CLDN3","hurdle",0,-2.3219104,0.7858684,3.1077788,0.88
"980","GATA3","hurdle",0,-1.6905149,0.7493628,2.4398777,0.878
"645","CYB5A","hurdle",0,-1.1410578,0.8122955,1.9533533,0.868
"1481","MLPH","hurdle",0,-2.3708163,0.2864475,2.6572638,0.864
"1933","PPDPF","hurdle",0,0.5210331,1.6187582,1.0977251,0.862
"674","DCXR","hurdle",0,-1.2923073,0.7175632,2.0098705,0.862
"513","CLDN7","hurdle",0,-2.2712098,0.3655142,2.636724,0.852
"2353","SLC39A6","hurdle",9.88131291682493e-324,-1.5689316,0.8750875,2.4440191,0.85
"2421","SPDEF","hurdle",0,-2.6554175,0.1353553,2.7907728,0.847
"2024","PYCARD","hurdle",1.87392273185966e-291,-1.6266075,0.5989804,2.2255879,0.844
"1078","H2AFJ","hurdle",4.15917924252983e-308,-0.818004,0.9938816,1.8118856,0.844
"2729","TRPS1","hurdle",3.04744160470839e-269,-2.0153971,0.2808193,2.2962164,0.841
"683","DEGS2","hurdle",6.07700744384733e-322,-2.88704016,0.08016321,2.96720337,0.84
"2816","UQCRQ","hurdle",6.35284833243846e-283,-0.300684,1.00548,1.306164,0.837
"2446","SRP9","hurdle",6.74319350121717e-273,-0.6281938,0.8336836,1.4618774,0.832
"1046","GPX4","hurdle",6.62985831948461e-260,0.1274798,1.1819358,1.054456,0.83
"1044","GPRC5A","hurdle",9.23740334333753e-314,-2.2961301,0.3638698,2.6599999,0.828
"2046","RAB25","hurdle",3.0580812128019e-250,-2.725546,-0.153388,2.572158,0.824
"2211","S100A14","hurdle",0,-2.6011705,0.7570127,3.3581832,0.82
"2467","STARD10","hurdle",1.87826114061483e-313,-2.3106629,0.2794866,2.5901495,0.819
"1464","MIF","hurdle",1.80155486936929e-224,0.1428387,1.3400105,1.1971718,0.818
"1821","PERP","hurdle",1.97481194556526e-270,-1.176211,0.5748706,1.7510816,0.816
"2380","SMIM14","hurdle",1.81510177721359e-254,-1.4821881,0.3716208,1.8538089,0.815
"1081","H3F3A","hurdle",3.7870410453197e-202,1.065683,1.633362,0.567679,0.814
"1582","MUC1","hurdle",0,-2.7298982,0.2452635,2.9751617,0.81
"581","COX6C","hurdle",1.01047338392642e-235,0.3060064,1.4317073,1.1257009,0.81
"1552","MRPS34","hurdle",2.96079158518523e-233,-1.4162212,0.2581411,1.6743623,0.807
"485","CHCHD2","hurdle",9.07543839188239e-214,0.4830056,1.2755991,0.7925935,0.807
"88","ALDOA","hurdle",1.44922830804438e-221,0.297365,1.232951,0.935586,0.807
"1457","MGST1","hurdle",1.5164158000466e-306,-1.9699539,0.5636697,2.5336236,0.805
"1691","NME4","hurdle",2.17167865062447e-227,-1.6361436,0.1861757,1.8223193,0.804
"855","ESR1","hurdle",1.07769298385625e-248,-2.70974635,0.01598441,2.72573076,0.804
"1690","NME3","hurdle",5.50381585633983e-222,-1.0594726,0.4330774,1.49255,0.803
"1872","PIP","hurdle",0,-1.947018,1.158768,3.105786,0.802
"2364","SLC9A3R1","hurdle",1.62773199442822e-219,-1.3644761,0.4792773,1.8437534,0.801
"1319","LAMTOR2","hurdle",9.13459397125664e-203,-1.2293777,0.3168146,1.5461923,0.799
"443","CD9","hurdle",4.09794507970284e-223,-0.3409158,0.9815633,1.3224791,0.799
"1775","PAFAH1B3","hurdle",3.59086047682776e-231,-2.12731364,-0.05205859,2.07525505,0.798
"98","ANAPC11","hurdle",4.94476088542979e-213,-0.5389423,0.7372195,1.2761618,0.798
"130","AR","hurdle",8.80589686724017e-203,-2.5760219,-0.2358534,2.3401685,0.796
"124","APOA1BP","hurdle",2.02746344395454e-188,-1.6265478,0.1577264,1.7842742,0.796
"2477","STRA13","hurdle",1.98560233796659e-201,-1.5970021,0.1568308,1.7538329,0.794
"442","CD46","hurdle",4.70911868402963e-185,-1.277564,0.2839437,1.5615077,0.793
