"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Endothelial","log2fold_change","Auc"
"1477","RAMP2","hurdle",0,-2.262082,1.239432,3.501514,0.948
"1318","PECAM1","hurdle",0,-2.670718,1.01927,3.689988,0.936
"764","GNG11","hurdle",0,-2.152467,1.010306,3.162773,0.928
"576","ENG","hurdle",0,-2.330423,1.01566,3.346083,0.924
"1381","PLVAP","hurdle",0,-2.594677,1.292065,3.886742,0.921
"1738","SPARCL1","hurdle",1.91528673235281e-292,-0.4798733,1.7783961,2.2582694,0.918
"1535","RNASE1","hurdle",0,-2.35989,1.025147,3.385037,0.917
"2017","VWF","hurdle",0,-3.0236577,0.9516857,3.9753434,0.916
"570","EMCN","hurdle",0,-3.1133515,0.6808582,3.7942097,0.912
"671","FKBP1A","hurdle",0,-0.3699936,1.298563,1.6685566,0.909
"1","A2M","hurdle",1.3700314519664e-292,-1.377902,1.172501,2.550403,0.909
"56","ADGRL4","hurdle",0,-3.161508,0.5867684,3.7482764,0.901
"827","HLA-E","hurdle",7.83031285472279e-232,0.3452718,1.6276021,1.2823303,0.9
"1227","NPDC1","hurdle",5.87255369235095e-317,-0.8445605,1.0722235,1.916784,0.896
"877","IFITM3","hurdle",7.29030124698543e-211,0.5527115,1.8082044,1.2554929,0.896
"867","IFI27","hurdle",6.67413482843399e-247,-0.2027327,1.6778894,1.8806221,0.895
"546","EGFL7","hurdle",0,-2.503039,0.7511308,3.2541698,0.895
"122","AQP1","hurdle",0,-2.73708,1.047547,3.784627,0.893
"597","ESAM","hurdle",3.34177355438673e-289,-2.275762,0.674664,2.950426,0.888
"369","CLEC14A","hurdle",0,-3.0475184,0.6667295,3.7142479,0.887
"308","CD74","hurdle",8.70210396471348e-223,0.4143251,1.9951079,1.5807828,0.882
"886","IGFBP7","hurdle",1.79838850648952e-256,-0.05934401,1.95124655,2.01059056,0.881
"853","HSPG2","hurdle",1.01765769783243e-280,-2.3548742,0.6990009,3.0538751,0.88
"2010","VIM","hurdle",1.17559960408059e-186,0.7714818,2.0450228,1.273541,0.879
"1747","SPRY1","hurdle",6.57041640835103e-289,-2.0712063,0.9282263,2.9994326,0.873
"415","CRIP2","hurdle",6.38335311067859e-210,-0.2982278,1.1819967,1.4802245,0.87
"368","CLDN5","hurdle",0,-2.9491122,0.8918911,3.8410033,0.87
"303","CD34","hurdle",9.32631468882466e-294,-2.9060731,0.4514088,3.3574819,0.867
"885","IGFBP4","hurdle",4.16968139652542e-201,-0.2869828,1.4131344,1.7001172,0.865
"816","HLA-B","hurdle",1.05995449977673e-150,1.069373,1.90972,0.840347,0.861
"1853","TGFBR2","hurdle",5.67496702327476e-248,-2.0479394,0.5967232,2.6446626,0.86
"581","EPAS1","hurdle",3.03932282980076e-225,-1.712574,0.6657112,2.3782852,0.855
"311","CD93","hurdle",9.94811674827891e-298,-3.0175929,0.3209891,3.338582,0.855
"270","CAV1","hurdle",1.0279237673869e-212,-1.176029,1.083577,2.259606,0.855
"1874","TM4SF1","hurdle",4.51876117871872e-189,-0.5621502,1.2284377,1.7905879,0.851
"1283","PALMD","hurdle",1.66952716188924e-290,-2.791539,0.381017,3.172556,0.851
"1834","TCF4","hurdle",1.83906515750761e-211,-1.5895118,0.6946691,2.2841809,0.85
"815","HLA-A","hurdle",2.307590632866e-144,0.9291574,1.7780041,0.8488467,0.85
"1479","RAMP3","hurdle",3.00769466222162e-299,-2.8654848,0.5684166,3.4339014,0.848
"1455","PTRF","hurdle",3.59671287436069e-197,-1.1234779,0.8886214,2.0120993,0.844
"1021","LMCD1","hurdle",1.6312097867154e-215,-1.903346,0.472761,2.376107,0.837
"451","CXorf36","hurdle",3.75119791075326e-282,-3.192839,0.1424035,3.3352425,0.837
