"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Myeloid","log2fold_change","Auc"
"477","HLA-DRA","hurdle",1.75081510179249e-180,-0.3643772,2.1982683,2.5626455,0.974
"471","HLA-DPA1","hurdle",5.04622201047496e-191,-0.6630068,1.9519086,2.6149154,0.967
"192","CD74","hurdle",3.68751510112883e-136,0.6008592,2.3863129,1.7854537,0.965
"478","HLA-DRB1","hurdle",6.70961432308797e-149,-0.2295048,1.979533,2.2090378,0.953
"472","HLA-DPB1","hurdle",1.37250000098586e-181,-0.6721326,1.8486233,2.5207559,0.945
"1074","TYROBP","hurdle",4.9285207809695e-208,-2.62149,1.514772,4.136262,0.939
"475","HLA-DQB1","hurdle",1.21098650748328e-165,-1.504179,1.411782,2.915961,0.932
"479","HLA-DRB5","hurdle",4.78886574020323e-153,-1.014267,1.620168,2.634435,0.93
"391","FTL","hurdle",9.38620495285073e-180,1.465396,2.372518,0.907122,0.928
"34","AIF1","hurdle",3.10736528089141e-228,-3.120218,1.204997,4.325215,0.919
"473","HLA-DQA1","hurdle",4.93470908488677e-162,-1.543509,1.543487,3.086996,0.918
"357","FCER1G","hurdle",1.61261262338313e-177,-2.672628,1.200596,3.873224,0.901
"467","HLA-DMA","hurdle",2.92242594116957e-134,-1.489987,1.103529,2.593516,0.895
"903","SAT1","hurdle",2.15264732903361e-77,0.7479499,1.7873987,1.0394488,0.878
"710","NPC2","hurdle",1.94462408772996e-127,-0.2668637,1.3713538,1.6382175,0.878
"672","MS4A6A","hurdle",6.3567248158706e-180,-3.1331636,0.8238579,3.9570215,0.869
"442","GPX1","hurdle",8.46815642435102e-144,0.1441677,1.5904426,1.4462749,0.859
"190","CD68","hurdle",2.77952691444847e-168,-2.9059459,0.8226546,3.7286005,0.859
"620","LYZ","hurdle",6.20170587937403e-156,-2.716089,1.173829,3.889918,0.853
"803","PSAP","hurdle",7.51062019415902e-123,-0.0778826,1.3644671,1.4423497,0.852
"130","C1QB","hurdle",1.8058782033842e-179,-3.117709,1.181328,4.299037,0.835
"259","CTSB","hurdle",2.39028399980581e-125,-0.691461,1.126062,1.817523,0.833
"571","LAPTM5","hurdle",1.06377860906055e-76,-1.2067196,0.9438527,2.1505723,0.832
"254","CST3","hurdle",8.11578618377436e-55,0.7548413,1.7787016,1.0238603,0.831
"468","HLA-DMB","hurdle",8.48292363761754e-122,-2.5773537,0.4714042,3.0487579,0.822
"195","CD83","hurdle",3.20100860376083e-97,-2.0663346,0.7972286,2.8635632,0.821
"129","C1QA","hurdle",1.55584566123194e-163,-3.123868,1.03094,4.154808,0.821
"131","C1QC","hurdle",1.05215081203806e-163,-3.199598,1.035853,4.235451,0.815
"611","LST1","hurdle",7.01387675709414e-123,-2.9480958,0.3072615,3.2553573,0.811
"846","RGS1","hurdle",1.78155358449791e-64,-0.6196081,1.1928446,1.8124527,0.805
"264","CTSS","hurdle",1.81574382090542e-87,-1.8747566,0.6285645,2.5033211,0.802
"925","SGK1","hurdle",3.25187548368887e-75,-1.5578588,0.7175458,2.2754046,0.801
"774","PLAUR","hurdle",7.75170248869981e-94,-2.1592499,0.5456293,2.7048792,0.793
"673","MS4A7","hurdle",2.14294502514164e-83,-2.0950694,0.5717705,2.6668399,0.791
"127","C1orf162","hurdle",6.72272486175436e-95,-2.8204691,0.1865705,3.0070396,0.791
"361","FCGR2A","hurdle",3.44913199705284e-124,-3.1156905,0.2183348,3.3340253,0.787
"58","APOC1","hurdle",6.91364391220155e-118,-2.7175071,0.8686598,3.5861669,0.78
"538","ITGB2","hurdle",2.1155219195561e-60,-2.053069,0.289515,2.342584,0.772
"474","HLA-DQA2","hurdle",2.39184126635604e-78,-2.3068028,0.3988577,2.7056605,0.772
"863","RNASET2","hurdle",2.21022863362386e-53,-1.114351,0.526922,1.641273,0.764
"282","CYBB","hurdle",1.42304416523242e-115,-3.25350799,-0.06345834,3.19004965,0.763
"145","CAPG","hurdle",5.4968980386826e-67,-1.4257937,0.4983477,1.9241414,0.762
"982","SOD2","hurdle",1.26741975094038e-49,-0.817052,0.7601661,1.5772181,0.761
"60","APOE","hurdle",1.49479711547005e-77,-1.44118,1.18629,2.62747,0.761
"161","CCL3","hurdle",2.89350798457733e-97,-2.844825,0.8499424,3.6947674,0.76
"851","RGS2","hurdle",1.42531780066066e-51,-1.3505406,0.6621175,2.0126581,0.759
"446","GRN","hurdle",2.96817516090054e-66,-0.631468,0.7062346,1.3377026,0.758
"241","COTL1","hurdle",3.37213007796918e-49,-1.1464901,0.6403848,1.7868749,0.758
"917","SERPINA1","hurdle",1.46591177502075e-85,-2.62064207,0.08302137,2.70366344,0.756
"363","FCGR3A","hurdle",1.20694373670693e-93,-2.9888827,0.1533793,3.142262,0.755
"834","RASSF4","hurdle",4.05578972997197e-83,-2.930757,-0.16043,2.770327,0.753
"779","PLEK","hurdle",4.18064483192173e-87,-3.039048212,-0.009067054,3.029981158,0.753
"663","MNDA","hurdle",7.06314077127739e-94,-3.14651088,-0.06083444,3.08567644,0.753
"505","IGSF6","hurdle",1.88808116739674e-112,-3.28434555,-0.01827607,3.26606948,0.745
"992","SRGN","hurdle",3.33949744088373e-40,0.3221022,1.4122241,1.0901219,0.741
"714","NR4A2","hurdle",8.44450569483842e-36,-0.3613596,0.8835622,1.2449218,0.741
"623","MAFB","hurdle",1.67793473992165e-50,-1.3243437,0.4999297,1.8242734,0.739
"762","PHACTR1","hurdle",1.49468790888438e-81,-2.9812626,-0.2027043,2.7785583,0.736
"271","CXCL16","hurdle",1.05697617893652e-66,-2.14859749,0.03804856,2.18664605,0.735
"226","CLEC7A","hurdle",3.97449488210392e-89,-3.151937,-0.3561539,2.7957831,0.733
"985","SPI1","hurdle",4.95584286021689e-96,-3.2112528,-0.2087519,3.0025009,0.732
"847","RGS10","hurdle",1.57414152280452e-45,-1.3117101,0.2676393,1.5793494,0.731
"1073","TYMP","hurdle",8.05190684938289e-51,-0.900908,0.52223,1.423138,0.73
"371","FGL2","hurdle",4.7601330887489e-59,-2.50919218,-0.08716259,2.42202959,0.73
"616","LY86","hurdle",1.65564715499221e-77,-3.17668,-0.3740656,2.8026144,0.729
"860","RNASE6","hurdle",3.86140597531507e-89,-3.160084,-0.2783452,2.8817388,0.728
"436","GPR183","hurdle",5.22295576560234e-42,-1.732409,0.398105,2.130514,0.726
"76","ARPC3","hurdle",8.94607689059791e-37,0.2571655,0.9331005,0.675935,0.726
"197","CD86","hurdle",1.80525751604683e-89,-3.2726041,-0.4335769,2.8390272,0.725
"163","CCL4","hurdle",7.25213705379501e-45,-1.2232961,0.9234638,2.1467599,0.725
"265","CTSZ","hurdle",6.45056067572279e-59,-1.6059767,0.1496108,1.7555875,0.723
"164","CCL4L2","hurdle",2.00711975680325e-60,-2.0410769,0.5459832,2.5870601,0.723
"396","FYB","hurdle",8.07576785087523e-44,-1.3719781,0.2708526,1.6428307,0.722
"249","CSF1R","hurdle",3.43272118052634e-94,-3.3073235,-0.4385329,2.8687906,0.721
"1084","VAMP8","hurdle",8.41010481542998e-32,-0.3798491,0.6276969,1.007546,0.72
"588","LILRB4","hurdle",3.03706903608713e-90,-3.2807758,-0.4177162,2.8630596,0.72
"865","RNF130","hurdle",7.50926848676162e-62,-1.74740151,0.08225362,1.82965513,0.718
"633","MARCKS","hurdle",2.06696006156321e-39,-1.4065521,0.1897407,1.5962928,0.718
"260","CTSC","hurdle",2.16320037842479e-36,-1.204728,0.3977303,1.6024583,0.718
"245","CPVL","hurdle",4.61708559241784e-68,-2.7997786,-0.1832161,2.6165625,0.717
"1061","TREM2","hurdle",2.94344468363331e-98,-3.2792476,-0.04961318,3.22963442,0.715
"515","IL18","hurdle",9.77179376356898e-83,-3.0653815,-0.4144031,2.6509784,0.715
"169","CD14","hurdle",5.19277078504962e-77,-2.8116288,-0.0286767,2.7829521,0.713
"674","MSR1","hurdle",1.53904660300119e-94,-3.2850452,-0.2568564,3.0281888,0.71
"646","MFSD1","hurdle",1.68249634381726e-51,-1.8778822,-0.0927311,1.7851511,0.709
"183","CD37","hurdle",2.22083742510053e-45,-1.450979111,-0.004384108,1.446595003,0.708
"460","HERPUD1","hurdle",3.42418608022843e-30,-0.1948799,0.7640488,0.9589287,0.707
"480","HMOX1","hurdle",6.16262767112912e-70,-2.881196,-0.2119244,2.6692716,0.706
"281","CYBA","hurdle",4.46227173229428e-45,-0.929481,0.5944273,1.5239083,0.706
"539","ITM2B","hurdle",9.4452740866271e-21,0.8257036,1.3479865,0.5222829,0.705
"457","HCLS1","hurdle",5.03297290393814e-40,-1.9135729,-0.1471328,1.7664401,0.705
"350","FAM26F","hurdle",2.95752913182919e-75,-3.1607822,-0.3958157,2.7649665,0.705
"137","C5AR1","hurdle",3.4948788619344e-79,-3.244058,-0.422279,2.821779,0.705
"261","CTSD","hurdle",8.29068373912339e-70,-0.3812429,0.8698764,1.2511193,0.7
"928","SH3BGRL3","hurdle",8.90675923741521e-22,0.436435,1.086417,0.649982,0.699
"313","DUSP1","hurdle",3.60756542280307e-19,0.9874752,1.5361701,0.5486949,0.699
"516","IL1B","hurdle",1.28932134057681e-92,-3.28896325,0.08859977,3.37756302,0.698
"23","ADAP2","hurdle",4.14572275766602e-54,-2.8681768,-0.4761915,2.3919853,0.698
"894","S100A11","hurdle",2.35959276212827e-19,0.9294309,1.433176,0.5037451,0.697
"617","LY96","hurdle",1.70445165436679e-41,-2.1873284,-0.1973048,1.9900236,0.697
"690","NAMPT","hurdle",1.7692588877492e-29,-0.6359255,0.4690738,1.1049993,0.696
"107","BCL2A1","hurdle",1.6150404504094e-55,-2.8160856,-0.2390635,2.5770221,0.696
"796","PPT1","hurdle",2.49638872382383e-38,-1.32414436,0.04218195,1.36632631,0.693
"415","GLIPR1","hurdle",1.4609558209725e-33,-1.6864818,-0.1602188,1.526263,0.693
"80","ARRB2","hurdle",1.45264457535482e-38,-2.49384,-0.4500989,2.0437411,0.693
"896","S100A4","hurdle",4.69780773969594e-22,0.1125162,1.023575,0.9110588,0.691
"727","OLR1","hurdle",3.4722332175356e-79,-3.3018547,-0.3704701,2.9313846,0.691
"185","CD4","hurdle",5.25000008372118e-44,-2.7156172,-0.5826047,2.1330125,0.691
"98","ATP6V1B2","hurdle",1.80515571252297e-43,-2.2599702,-0.2915882,1.968382,0.691
"1053","TNFSF13B","hurdle",1.0835111322294e-45,-2.738459,-0.553202,2.185257,0.69
"610","LSP1","hurdle",5.9974793450314e-34,-1.57930106,-0.01100052,1.56830054,0.69
"364","FCGRT","hurdle",1.83231609083507e-33,-0.6557334,0.4478403,1.1035737,0.689
"262","CTSH","hurdle",8.63811600573751e-40,-1.4069471,0.1170587,1.5240058,0.688
"498","IFI30","hurdle",1.45918315031843e-63,-3.0585929,-0.4499109,2.608682,0.687
"89","ATP1B3","hurdle",3.87773676139772e-23,-0.8231643,0.2804523,1.1036166,0.687
"134","C3AR1","hurdle",2.60511810643182e-62,-3.1557215,-0.7617284,2.3939931,0.684
"43","ALOX5AP","hurdle",1.84425238316793e-30,-1.6495704,0.1079634,1.7575338,0.684
"901","SAMHD1","hurdle",3.46222877557329e-33,-1.8620661,-0.2985138,1.5635523,0.683
"162","CCL3L3","hurdle",2.03145233376779e-67,-2.9894975,0.2394776,3.2289751,0.683
"575","LGALS1","hurdle",9.0789130129113e-19,0.2750154,1.0337176,0.7587022,0.682
"574","LCP2","hurdle",3.7584873304671e-39,-2.5399288,-0.5972375,1.9426913,0.682
