"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Normal_Epithelial","log2fold_change","Auc"
"700","KRT7","hurdle",3.55583219760308e-110,-0.8958049,1.1004607,1.9962656,0.866
"957","PERP","hurdle",6.77785944591994e-100,-0.5542308,1.0331815,1.5874123,0.862
"1332","TACSTD2","hurdle",1.17407302640848e-105,-0.733839,1.183032,1.916871,0.856
"701","KRT8","hurdle",5.71167948884661e-80,-0.2711567,1.1605973,1.431754,0.821
"692","KRT14","hurdle",2.64086357482163e-160,-2.9444191,0.9990268,3.9434459,0.818
"945","PDLIM3","hurdle",1.9306734692744e-72,-1.781333,0.368462,2.149795,0.799
"552","GSTP1","hurdle",4.01842417418071e-61,0.1812211,1.1865369,1.0053158,0.795
"1407","TPM1","hurdle",1.30704024897447e-56,-0.2777707,0.9870929,1.2648636,0.794
"828","MT1E","hurdle",7.60491365948761e-63,-1.0784041,0.6878898,1.7662939,0.793
"295","CRYAB","hurdle",9.03321936021073e-93,-1.959995,0.532434,2.492429,0.793
"299","CSRP1","hurdle",1.74640544842328e-59,-0.8206088,0.7721753,1.5927841,0.787
"698","KRT5","hurdle",1.09166315539e-140,-3.1248566,0.3836166,3.5084732,0.786
"1495","WFDC2","hurdle",6.86675768337125e-67,-1.220765,0.623001,1.843766,0.781
"108","ATF3","hurdle",9.01317566085508e-53,-0.0122182,1.1262919,1.1385101,0.773
"944","PDLIM1","hurdle",2.25105603803695e-49,-0.5537962,0.6812445,1.2350407,0.772
"799","MGP","hurdle",9.6110058608164e-49,0.8793631,1.9490271,1.069664,0.771
"358","DST","hurdle",4.32600210272163e-56,-1.6387581,0.2995432,1.9383013,0.769
"1298","SPINT2","hurdle",2.26269471909996e-69,-0.1870629,1.0028372,1.1899001,0.767
"113","ATP1B1","hurdle",2.80646206667867e-58,-1.2401457,0.3547153,1.594861,0.762
"398","EIF3L","hurdle",5.69521988885006e-43,-0.3338927,0.6612511,0.9951438,0.755
"946","PDLIM4","hurdle",3.85669274026741e-59,-2.2263692,-0.1871029,2.0392663,0.754
"377","EEF2","hurdle",2.19999051555348e-39,0.6910859,1.306886,0.6158001,0.753
"314","CYR61","hurdle",1.22638226886858e-40,-0.8127595,0.6161848,1.4289443,0.75
"82","APP","hurdle",1.0124580845987e-40,-0.312706,0.6870944,0.9998004,0.749
"877","NFIB","hurdle",2.08761925708457e-44,-1.2723228,0.2046572,1.47698,0.746
"695","KRT17","hurdle",1.16324553638575e-117,-3.0379748,0.5698374,3.6078122,0.746
"1056","PTN","hurdle",3.18654843863297e-100,-2.427643,0.4877946,2.9154376,0.744
"1376","TM4SF1","hurdle",1.01134283211152e-43,-0.2640868,0.9696296,1.2337164,0.741
"831","MT1X","hurdle",1.20248544153951e-39,-0.8118386,0.7114017,1.5232403,0.74
"951","PEBP1","hurdle",3.50701710991574e-38,0.1101405,0.8924245,0.782284,0.739
"1216","SFRP1","hurdle",2.85388383664543e-97,-2.7274275,0.06280492,2.79023242,0.737
"678","KLF5","hurdle",1.78391925788351e-61,-2.8174676,-0.4922025,2.3252651,0.737
"215","CD9","hurdle",5.48027917487098e-42,0.1360685,1.0173295,0.881261,0.736
"267","CLU","hurdle",6.46060834390741e-37,-0.1377166,0.8889953,1.0267119,0.732
"16","ACADVL","hurdle",2.04838227148114e-40,-0.9339785,0.2050622,1.1390407,0.731
"844","MYC","hurdle",4.79692519584238e-33,-0.4729224,0.6302706,1.103193,0.73
"1525","ZFP36L2","hurdle",1.33168444100358e-33,0.6852166,1.3972848,0.7120682,0.729
"1015","PPDPF","hurdle",4.18545218320378e-36,0.9107623,1.5236531,0.6128908,0.729
"1166","SAA1","hurdle",3.32660852358994e-87,-2.83999866,-0.01121135,2.82878731,0.727
"826","MT-ND4L","hurdle",7.7184251682634e-25,1.331344,1.951708,0.620364,0.724
"46","AK5","hurdle",1.14868880675786e-67,-3.1302659,-0.6219899,2.508276,0.724
"979","PKM","hurdle",2.9858724777435e-30,-0.2514598,0.6145843,0.8660441,0.72
"22","ACTN1","hurdle",5.44668260349994e-29,-0.9396403,0.225841,1.1654813,0.718
"719","LGALS3","hurdle",9.64997285858857e-35,0.00764191,0.86726106,0.85961915,0.717
"386","EGR1","hurdle",3.63081177551838e-26,0.1729026,1.0867564,0.9138538,0.717
"937","PCBP2","hurdle",4.82543184450479e-31,0.3523044,0.9745545,0.6222501,0.714
"760","MAFF","hurdle",7.5109494057078e-34,-0.8130008,0.3787534,1.1917542,0.712
"1185","SDC4","hurdle",3.34714172843395e-29,-1.14491942,0.03615469,1.18107411,0.711
"1289","SOX4","hurdle",1.27397957927008e-33,-0.7588516,0.3916627,1.1505143,0.71
"800","MGST1","hurdle",5.4008480255784e-44,-0.7579533,0.356847,1.1148003,0.709
"359","DSTN","hurdle",1.63865807414548e-38,0.4430276,1.1244154,0.6813878,0.708
"74","ANXA3","hurdle",7.4224045511589e-51,-2.5711419,-0.5211602,2.0499817,0.708
"867","NDRG2","hurdle",2.07385926087562e-45,-1.901543,-0.196765,1.704778,0.707
"1328","SYNM","hurdle",8.22283574062015e-72,-2.9160101,-0.3523139,2.5636962,0.706
"1215","SFN","hurdle",4.08156880043564e-57,-2.670595,-0.4067117,2.2638833,0.706
"121","AZGP1","hurdle",5.30965099878678e-30,0.1299309,1.193331,1.0634001,0.706
"1180","SCPEP1","hurdle",4.2201547087857e-30,-1.5698373,-0.1354405,1.4343968,0.705
"230","CEBPD","hurdle",9.69214947563826e-28,-0.4798253,0.5730502,1.0528755,0.705
"114","ATP5A1","hurdle",2.86063172478819e-26,-0.6252946,0.2738084,0.899103,0.704
"466","FBXO32","hurdle",1.06518801809043e-52,-1.6909779,0.1465029,1.8374808,0.701
"832","MT2A","hurdle",3.32853266382585e-23,0.4583764,1.2799118,0.8215354,0.7
"776","MARCKSL1","hurdle",1.77820417747947e-26,-0.2625059,0.5969713,0.8594772,0.7
"930","PALLD","hurdle",5.03588659241309e-23,-1.42235971,-0.08896896,1.33339075,0.699
"257","CLDN4","hurdle",4.38999726764433e-31,-0.2105615,0.8529441,1.0635056,0.698
"251","CIRBP","hurdle",3.80903446653905e-24,0.4996094,1.0342216,0.5346122,0.698
"1300","SQSTM1","hurdle",7.33929114006929e-25,0.2612863,0.9248838,0.6635975,0.697
"226","CDKN1A","hurdle",1.5754193930542e-25,-0.04734892,0.82914369,0.87649261,0.697
"997","PLPP2","hurdle",2.66540609121924e-27,-1.527255,-0.290846,1.236409,0.695
"73","ANXA2","hurdle",4.74580129136214e-28,0.2498653,0.9135919,0.6637266,0.695
"693","KRT15","hurdle",1.6297721377362e-65,-2.2316239,0.2589103,2.4905342,0.694
"1003","PNPLA2","hurdle",2.35492378113448e-29,-0.97771651,0.06700619,1.0447227,0.692
"216","CDC42EP1","hurdle",2.23973920138406e-32,-1.808148,-0.366815,1.441333,0.692
"1160","RTN4","hurdle",1.48876137957951e-23,-0.0777731,0.6139695,0.6917426,0.691
"759","MAFB","hurdle",2.4844074098714e-27,-1.28776292,0.01785295,1.30561587,0.691
"72","ANXA1","hurdle",1.24978303844438e-25,-0.05488747,0.92082237,0.97570984,0.691
"878","NFIC","hurdle",1.10023814166864e-25,-0.9134445,0.03028789,0.94373239,0.69
"1352","TECR","hurdle",6.47045878582768e-19,-0.6049348,0.2268759,0.8318107,0.689
"311","CXCL2","hurdle",1.46019967427159e-42,-1.95933074,0.06654967,2.02588041,0.689
"476","FHL2","hurdle",4.15389538981936e-30,-1.6709815,-0.2323146,1.4386669,0.688
"357","DSP","hurdle",6.25768213897211e-27,-1.3076881,-0.1409188,1.1667693,0.688
"1005","PNRC1","hurdle",3.53820748530105e-23,0.06381052,0.74968796,0.68587744,0.687
"545","GRINA","hurdle",9.76467017124485e-17,-0.90908252,0.01126586,0.92034838,0.687
"345","DMKN","hurdle",1.24198506823758e-25,-2.1378621,-0.5872969,1.5505652,0.687
"281","COMT","hurdle",1.46700872424393e-18,-0.85272263,0.02433525,0.87705788,0.687
"112","ATP1A1","hurdle",4.01502723416401e-24,-0.6422813,0.1820374,0.8243187,0.687
"1091","RBP1","hurdle",4.29857196574284e-32,-1.9414789,-0.3957885,1.5456904,0.686
"1199","SERINC2","hurdle",1.57535148317736e-17,-1.547386,-0.358187,1.189199,0.685
"305","CX3CL1","hurdle",4.79983530051287e-45,-2.5193995,-0.5777156,1.9416839,0.685
"732","LMNA","hurdle",1.7660090964109e-27,0.6500243,1.2491197,0.5990954,0.684
"696","KRT18","hurdle",2.46576687259303e-28,0.05104165,0.96553027,0.91448862,0.684
"430","ERRFI1","hurdle",7.19937392601052e-27,-1.5859901,-0.2651136,1.3208765,0.684
"371","ECHDC2","hurdle",3.09718299403376e-21,-1.6535059,-0.4864458,1.1670601,0.684
"292","CRNDE","hurdle",7.07766858739016e-19,-1.4565901,-0.4006466,1.0559435,0.684
"403","ELF3","hurdle",2.1375662317991e-43,-0.2114766,0.6536627,0.8651393,0.683
"1426","TSC22D1","hurdle",1.0943762666533e-20,-0.05237762,0.67740841,0.72978603,0.681
"1359","TFAP2C","hurdle",2.19548111861356e-24,-2.3892103,-0.7906632,1.5985471,0.681
"1353","TES","hurdle",4.09296356182377e-23,-1.9430065,-0.5885929,1.3544136,0.681
"1312","STAC2","hurdle",1.32844699161519e-83,-3.2575885,-0.5726062,2.6849823,0.681
"787","MDK","hurdle",2.89025980857722e-26,-0.66209,0.2456564,0.9077464,0.681
"1029","PRDX5","hurdle",1.62521575290971e-22,-0.2898505,0.4201988,0.7100493,0.68
"905","NTRK2","hurdle",2.45223472549716e-42,-2.2981972,-0.4920386,1.8061586,0.68
"679","KLF6","hurdle",1.08835284172297e-22,0.7080049,1.2503202,0.5423153,0.68
"514","GLTSCR2","hurdle",8.45432581943606e-24,-0.04265259,0.6523631,0.69501569,0.68
"485","FOSB","hurdle",2.58198052164724e-22,0.6772272,1.2273695,0.5501423,0.68
"205","CCNI","hurdle",7.82670403147489e-21,0.5128147,1.0175869,0.5047722,0.68
"1309","ST13","hurdle",9.334112981756e-23,-0.3047256,0.3915508,0.6962764,0.679
"1093","RCAN1","hurdle",3.29054446039317e-31,-1.7874159,-0.2673723,1.5200436,0.679
"213","CD59","hurdle",4.31103375543933e-21,0.05876187,0.72557338,0.66681151,0.679
"1196","SEPP1","hurdle",1.5677956628267e-19,-0.6907801,0.1098409,0.800621,0.677
"461","FBL","hurdle",1.9071620002774e-17,-1.1584009,-0.2360861,0.9223148,0.677
"61","ANGPTL4","hurdle",7.05540346620755e-23,-1.7829782,-0.4002974,1.3826808,0.677
"1274","SNHG8","hurdle",7.44794599887334e-18,-0.2530062,0.4451148,0.698121,0.676
"967","PHB2","hurdle",2.70918777861094e-19,-0.79235445,0.03257165,0.8249261,0.676
"882","NGFRAP1","hurdle",1.11175705873334e-17,-1.062019,-0.154367,0.907652,0.676
"659","KDSR","hurdle",2.90548461839331e-20,-1.5952537,-0.4833927,1.111861,0.676
"419","EPCAM","hurdle",4.38733929067379e-20,-1.3275747,-0.2289092,1.0986655,0.676
"396","EIF3G","hurdle",1.09557961101707e-18,-0.3061761,0.3883225,0.6944986,0.676
"1443","TUBB4B","hurdle",2.41196098774918e-18,-0.03920187,0.63386677,0.67306864,0.675
"1334","TAGLN","hurdle",9.98541303468499e-18,-0.4580855,0.7742685,1.232354,0.675
"1270","SMDT1","hurdle",1.34507008883124e-21,-0.488445,0.2160134,0.7044584,0.675
"890","NNMT","hurdle",3.61907953780006e-19,-0.7995102,0.2833096,1.0828198,0.675
"617","IMPDH2","hurdle",7.92472310870849e-21,-0.82926716,0.02463441,0.85390157,0.675
"353","DSC2","hurdle",2.27182400669635e-33,-2.6032117,-0.8652878,1.7379239,0.674
"274","CNN2","hurdle",9.45829388155939e-16,-1.1656268,-0.1089768,1.05665,0.674
"143","BEX2","hurdle",3.71824712902325e-25,-2.786582,-1.079698,1.706884,0.674
"1441","TUBB2A","hurdle",6.60659822919205e-25,-1.6245416,-0.3105221,1.3140195,0.673
"1059","PTPRF","hurdle",3.64382189130244e-28,-1.965345,-0.636925,1.32842,0.673
"450","FAM210B","hurdle",7.40513692975809e-19,-1.7028154,-0.5526066,1.1502088,0.673
"161","C12orf57","hurdle",2.6570636875927e-18,0.209209,0.7812027,0.5719937,0.673
"86","AREG","hurdle",8.63184073631971e-29,-1.128404,0.1320292,1.2604332,0.673
"911","OAT","hurdle",2.39009753598825e-18,-0.88321884,-0.02437456,0.85884428,0.671
"1512","YWHAQ","hurdle",4.88617740967624e-18,-0.2444115,0.3915921,0.6360036,0.669
"1440","TUBA1A","hurdle",1.15815241599232e-15,-0.1279951,0.598825,0.7268201,0.669
"807","MLF2","hurdle",1.61091300989355e-19,-0.70670463,0.04414018,0.75084481,0.669
"413","ENO1","hurdle",2.03456833098323e-17,-0.3786847,0.3418862,0.7205709,0.669
"1055","PTMS","hurdle",3.26194130155021e-16,-0.2334342,0.4387058,0.67214,0.668
"395","EIF3F","hurdle",2.07930186213969e-19,-0.1110597,0.4797342,0.5907939,0.668
"1398","TNFRSF12A","hurdle",1.37536055853615e-22,-1.3433066,-0.1939916,1.149315,0.666
"1297","SPINT1","hurdle",7.71427735416159e-19,-1.8528111,-0.6542037,1.1986074,0.666
"1173","SBDS","hurdle",3.10044601562444e-13,-0.64708877,0.09198788,0.73907665,0.666
"212","CD24","hurdle",1.48672779545177e-25,-0.4079427,0.5796272,0.9875699,0.666
"148","BRD2","hurdle",1.42076118613727e-15,-0.10792,0.5454444,0.6533644,0.666
"1197","SERBP1","hurdle",1.13579664846657e-19,-0.3263666,0.3358248,0.6621914,0.665
"1034","PRNP","hurdle",2.79353020978786e-13,-1.6408244,-0.4939945,1.1468299,0.665
"1459","UQCRC1","hurdle",1.06589126975929e-17,-1.1734836,-0.3274692,0.8460144,0.664
"1509","YBX3","hurdle",1.58647110365154e-24,-0.860820988,-0.009652094,0.851168894,0.663
"1104","RIC3","hurdle",9.34988297383344e-18,-2.742782,-1.22659,1.516192,0.663
"503","GBP2","hurdle",2.17633702606976e-19,-1.3902201,-0.3124514,1.0777687,0.663
"1133","RP11-532F12.5","hurdle",5.84612329308536e-17,-2.0066924,-0.8052012,1.2014912,0.662
