"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.PVL","log2fold_change","Auc"
"706","MYL9","hurdle",0,-0.9943965,1.8818448,2.8762413,0.975
"163","CALD1","hurdle",7.32925128821399e-279,-0.7733975,1.7696454,2.5430429,0.966
"12","ACTA2","hurdle",8.09645059657898e-297,-1.369511,1.888665,3.258176,0.959
"1097","TAGLN","hurdle",4.1276948227571e-284,-1.055209,2.038286,3.093495,0.958
"1152","TPM2","hurdle",1.7915419756566e-293,-1.637117,1.616203,3.25332,0.955
"535","IGFBP7","hurdle",4.0755350509189e-206,0.07912983,2.19180887,2.11267904,0.941
"1053","SOD3","hurdle",9.92417936336956e-240,-2.075957,1.140909,3.216866,0.898
"1151","TPM1","hurdle",1.85422682338563e-185,-0.4250987,1.3486634,1.7737621,0.894
"660","MFGE8","hurdle",1.03708109263654e-233,-1.9218072,0.9787639,2.9005711,0.894
"176","CAV1","hurdle",1.44290955328965e-176,-0.9744414,1.2690844,2.2435258,0.893
"122","BGN","hurdle",7.56224154091556e-200,-1.562365,1.087095,2.64946,0.89
"835","PLAC9","hurdle",1.36420076873521e-203,-2.0195882,0.8651283,2.8847165,0.885
"34","ADIRF","hurdle",3.91106945597094e-148,-0.08678562,1.55765431,1.64443993,0.885
"1061","SPARCL1","hurdle",5.07399568532641e-159,-0.1847072,1.725427,1.9101342,0.884
"746","NOTCH3","hurdle",3.73091146406509e-229,-2.4234527,0.6598008,3.0832535,0.87
"603","LHFP","hurdle",8.32857992435162e-180,-1.7165128,0.8408316,2.5573444,0.87
"598","LGALS1","hurdle",4.12150226995092e-128,0.1419043,1.4979142,1.3560099,0.867
"1193","VIM","hurdle",1.03395533015877e-115,0.8781552,2.0595484,1.1813932,0.862
"1125","TINAGL1","hurdle",1.25501029299311e-184,-1.8737209,0.7411878,2.6149087,0.855
"722","NDUFA4L2","hurdle",5.46220164724687e-244,-2.7986382,0.9685167,3.7671549,0.855
"261","CPE","hurdle",1.73378298814338e-182,-2.0506832,0.7436772,2.7943604,0.855
"864","PPP1R14A","hurdle",3.95459419800138e-193,-2.4693142,0.6799135,3.1492277,0.854
"999","SERPING1","hurdle",3.44227064824137e-130,-0.9611081,0.9470642,1.9081723,0.845
"639","MAP1B","hurdle",6.06184959830529e-165,-2.027624,0.6109952,2.6386192,0.842
