"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.T_cells","log2fold_change","Auc"
"513","SRGN","hurdle",0,-0.6295087,1.7050836,2.3345923,0.918
"136","CXCR4","hurdle",0,-1.543728,1.674564,3.218292,0.905
"50","B2M","hurdle",3.71851792560728e-243,1.854338,2.410641,0.556303,0.897
"542","TMSB4X","hurdle",9.1437915162437e-195,1.702854,2.259432,0.556578,0.863
"417","PTPRC","hurdle",0,-2.3791964,0.9097826,3.288979,0.849
"98","CD52","hurdle",0,-2.401298,0.965729,3.367027,0.835
"269","IL7R","hurdle",0,-2.951108,1.131526,4.082634,0.833
"57","BTG1","hurdle",1.15547397687983e-293,0.6839015,1.552239,0.8683375,0.808
"90","CD3D","hurdle",0,-3.2061097,0.6209042,3.8270139,0.799
"84","CD2","hurdle",0,-3.2084836,0.5757565,3.7842401,0.793
"467","RPS29","hurdle",0,0.7382675,1.5531172,0.8148497,0.788
"438","RGS1","hurdle",3.45338782906505e-281,-1.7733149,0.9946228,2.7679377,0.785
"101","CD69","hurdle",5.31061281401839e-319,-2.411483,0.846905,3.258388,0.783
"572","TSC22D3","hurdle",1.1172168187648e-310,0.1357454,1.3035711,1.1678257,0.77
"141","CYTIP","hurdle",1.64925343125092e-313,-2.6467193,0.5041565,3.1508758,0.767
"544","TNFAIP3","hurdle",1.08971931737689e-294,-1.3437938,0.8717135,2.2155073,0.763
"126","CREM","hurdle",3.98859195887638e-320,-1.5222195,0.8384922,2.3607117,0.762
"556","TRAC","hurdle",7.88135185514944e-313,-2.9881113,0.4606089,3.4487202,0.749
"41","ARHGDIB","hurdle",1.20434013520909e-258,-0.2809819,0.9384967,1.2194786,0.749
"76","CCL5","hurdle",0,-2.8561606,0.7569297,3.6130903,0.748
"242","HSPA8","hurdle",3.09221071945307e-187,0.8880891,1.4558724,0.5677833,0.747
"268","IL32","hurdle",3.45092530250304e-252,-1.5210375,0.6842658,2.2053033,0.74
"91","CD3E","hurdle",4.2962117215747e-312,-3.2351059,0.2307937,3.4658996,0.74
"471","S100A4","hurdle",1.52691007337505e-156,-0.3411439,1.0722361,1.41338,0.736
"157","DUSP2","hurdle",2.43155888021453e-207,-1.4993664,0.7416203,2.2409867,0.719
"193","FYB","hurdle",1.37526769731902e-204,-2.4484858,0.1726929,2.6211787,0.718
"475","SAMSN1","hurdle",5.6549351279003e-239,-2.87455277,0.09078337,2.96533614,0.712
"594","ZFP36L2","hurdle",3.16421950745127e-161,0.5001711,1.2762259,0.7760548,0.709
"522","STK4","hurdle",2.57412763299802e-254,-1.6223061,0.4450973,2.0674034,0.709
"267","IL2RG","hurdle",4.87703495606289e-224,-2.72109325,0.06160443,2.78269768,0.706
"159","ELF1","hurdle",6.0844791583852e-248,-1.0243289,0.5600113,1.5843402,0.705
"562","TRBC2","hurdle",7.67499811539512e-244,-3.09892442,0.08283319,3.18175761,0.704
"56","BIRC3","hurdle",1.19398388506033e-190,-1.5880678,0.4590121,2.0470799,0.702
"99","CD53","hurdle",7.27621553721148e-181,-2.48563522,-0.02895578,2.45667944,0.695
"597","ZNF331","hurdle",1.51087680901837e-178,-1.6439547,0.3755356,2.0194903,0.692
"96","CD48","hurdle",1.33196647037172e-189,-2.70716382,-0.08808963,2.61907419,0.689
"300","LAPTM5","hurdle",1.91541328839923e-139,-1.7429019,0.1377751,1.880677,0.688
"561","TRBC1","hurdle",2.41239066764148e-230,-3.234131315,-0.009900855,3.22423046,0.687
"236","HLA-B","hurdle",1.05144232654702e-82,1.068567,1.576285,0.507718,0.686
"436","RGCC","hurdle",8.33843758382204e-145,-1.412666,0.481497,1.894163,0.685
"123","CORO1A","hurdle",1.14315464801451e-173,-2.48649761,-0.03124032,2.45525729,0.683
"514","SRSF7","hurdle",3.16872136201504e-213,-0.06168651,0.77524121,0.83692772,0.682
"424","RAC2","hurdle",1.66146733661271e-193,-2.51277248,-0.05601775,2.45675473,0.68
"496","SLA","hurdle",1.02431632848936e-197,-2.9600358,-0.1180161,2.8420197,0.678
"208","GMFG","hurdle",6.16150479640053e-150,-1.602245,0.1358754,1.7381204,0.677
"441","RHOH","hurdle",3.34567797822454e-178,-2.5247721,-0.05957187,2.46520023,0.676
"521","STK17B","hurdle",4.76879396797989e-184,-2.35251638,-0.08675727,2.26575911,0.672
"12","ACAP1","hurdle",1.548937028207e-182,-2.9127657,-0.2951508,2.6176149,0.672
"588","YPEL5","hurdle",1.16680281595303e-240,-0.7364238,0.5676294,1.3040532,0.67
"273","ISG20","hurdle",2.49518643590237e-183,-1.6611047,0.1949317,1.8560364,0.665
"398","PPP2R5C","hurdle",4.51737292788189e-217,-1.8542058,0.1021621,1.9563679,0.664
"150","DNAJA1","hurdle",2.10103412936661e-182,0.34736,1.00655,0.65919,0.664
"89","CD37","hurdle",1.07109830075247e-122,-2.1483647,-0.1694771,1.9788876,0.664
"232","HCST","hurdle",3.63216982982816e-157,-2.671681,-0.215504,2.456177,0.662
"194","FYN","hurdle",4.3753732820326e-170,-2.45256,-0.2099294,2.2426306,0.662
"92","CD3G","hurdle",1.82190127167484e-199,-3.2633101,-0.4289113,2.8343988,0.662
"102","CD7","hurdle",1.00383811053909e-189,-3.1594542,-0.2428061,2.9166481,0.661
"129","CST7","hurdle",4.21500114753449e-177,-3.1445372,-0.2688251,2.8757121,0.656
"21","ALOX5AP","hurdle",3.42752961015973e-128,-2.4887791,-0.2058649,2.2829142,0.655
"466","RPS20","hurdle",4.88791529805908e-101,0.5562739,1.1722552,0.6159813,0.653
"117","CLEC2D","hurdle",1.26499818013084e-176,-2.7847749,-0.2715881,2.5131868,0.653
"106","CD96","hurdle",1.91806262740517e-179,-3.2472025,-0.5377968,2.7094057,0.651
"356","NKG7","hurdle",7.88697020177137e-181,-3.19307337,-0.08497149,3.10810188,0.649
"24","ANXA1","hurdle",1.78183137972025e-110,-0.3298505,0.7453593,1.0752098,0.649
"290","KLRB1","hurdle",5.22561590913866e-184,-3.2622561,-0.1996688,3.0625873,0.648
"476","SARAF","hurdle",1.84636666539537e-225,0.2903235,0.8340042,0.5436807,0.646
"525","SYTL3","hurdle",1.65481500172211e-168,-3.0465778,-0.3948879,2.6516899,0.644
"223","GZMA","hurdle",8.17083019257422e-174,-3.2034303,-0.2462077,2.9572226,0.643
"308","LEPROTL1","hurdle",1.0326411274728e-188,-1.3546369,0.1432283,1.4978652,0.641
"304","LCP1","hurdle",4.2177387438583e-130,-2.446208,-0.3416131,2.1045949,0.641
"465","RPS10","hurdle",1.03295904220326e-121,0.02079025,0.67621279,0.65542254,0.634
"526","TAGAP","hurdle",5.01787796093956e-120,-2.7443428,-0.4630054,2.2813374,0.633
"226","GZMK","hurdle",2.77895228806309e-161,-3.24071,-0.298881,2.941829,0.632
"490","SH3BGRL3","hurdle",5.43781829933883e-152,0.3207695,0.8468136,0.5260441,0.63
"470","RUNX3","hurdle",1.25885108836751e-138,-3.095093,-0.666453,2.42864,0.629
"577","TUBA4A","hurdle",4.08976089116096e-149,-1.9893828,-0.1380532,1.8513296,0.627
"327","LTB","hurdle",1.1392869707553e-112,-2.7095206,-0.4012044,2.3083162,0.626
"306","LDHB","hurdle",2.14573761677347e-108,-0.7854152,0.2043749,0.9897901,0.626
"303","LCK","hurdle",6.08505200330268e-146,-3.2285058,-0.7912515,2.4372543,0.626
"279","ITK","hurdle",1.60272573688217e-146,-3.2717046,-0.7444886,2.527216,0.625
"74","CCL4","hurdle",2.74584415045457e-98,-2.0290945,0.3014813,2.3305758,0.624
"214","GPR171","hurdle",9.26210397185274e-141,-3.295738,-0.67065,2.625088,0.618
"79","CCNH","hurdle",2.05339309169357e-151,-1.59136011,-0.04778968,1.54357043,0.618
"132","CTSW","hurdle",1.34978096011885e-138,-3.2565001,-0.6143285,2.6421716,0.617
"216","GPR183","hurdle",2.33075316386652e-78,-2.2437443,-0.4143422,1.8294021,0.616
"512","SPOCK2","hurdle",6.50583266945764e-119,-3.057526,-0.850699,2.206827,0.614
"109","CELF2","hurdle",7.33629075613432e-98,-2.3076172,-0.5568438,1.7507734,0.614
"518","STAT4","hurdle",2.12480036274797e-127,-3.2253349,-0.8118227,2.4135122,0.613
"245","ICOS","hurdle",5.61070482208587e-138,-3.3140673,-0.8099016,2.5041657,0.613
"378","PDE4B","hurdle",1.76817141408409e-109,-2.0505058,-0.4021033,1.6484025,0.611
"535","TIGIT","hurdle",7.56957493651368e-128,-3.2757691,-0.7749882,2.5007809,0.61
"217","GPR65","hurdle",4.86839889653652e-96,-2.8517622,-0.7724497,2.0793125,0.61
"361","NR4A2","hurdle",2.79539130552051e-98,-0.5776694,0.3683255,0.9459949,0.609
"95","CD44","hurdle",1.91177794436074e-138,-0.5427263,0.2583112,0.8010375,0.608
"17","AIM1","hurdle",3.64582055296643e-125,-2.3942041,-0.4974055,1.8967986,0.608
"488","SH2D1A","hurdle",5.27816388694753e-123,-3.2833794,-0.9138078,2.3695716,0.606
"219","GPSM3","hurdle",2.62403305559868e-100,-2.2954436,-0.5989403,1.6965033,0.605
"559","TRAT1","hurdle",3.64127412949943e-120,-3.2877351,-0.9184079,2.3693272,0.604
"309","LIMD2","hurdle",2.17272894313291e-87,-2.4428795,-0.6948428,1.7480367,0.603
"143","DDX24","hurdle",7.4371499368868e-167,-0.6137854,0.2250574,0.8388428,0.603
"116","CLEC2B","hurdle",5.13300861355075e-103,-1.35439725,-0.08015446,1.27424279,0.603
"439","RGS2","hurdle",2.53795290232377e-63,-1.6531869,-0.2710436,1.3821433,0.602
"414","PTPN22","hurdle",5.75412509916222e-102,-3.139563,-0.9571661,2.1823969,0.6
"276","ITGB2","hurdle",8.72255392922939e-66,-2.4008498,-0.8028398,1.59801,0.599
"86","CD247","hurdle",2.17404056119729e-115,-3.292431,-1.091799,2.200632,0.598
